timestamp_ms,monotonic_ts,pressure
1779243752585,597766.847385,23
1779243752606,597766.867682,24
1779243752628,597766.889894,25
1779243752643,597766.905091,25
1779243752663,597766.925363,26
1779243752684,597766.945646,27
1779243752704,597766.965962,28
1779243752724,597766.986312,28
1779243752745,597767.006817,32
1779243752765,597767.027055,29
1779243752785,597767.047339,29
1779243752805,597767.067591,29
1779243752826,597767.087831,29
1779243752847,597767.108890,29
1779243752867,597767.129193,29
1779243752887,597767.149470,29
1779243752903,597767.164688,29
1779243752923,597767.184956,30
1779243752943,597767.205254,30
1779243752963,597767.225524,34
1779243752984,597767.245849,34
1779243753004,597767.266140,31
1779243753024,597767.286458,38
1779243753045,597767.306775,35
1779243753065,597767.327062,40
1779243753085,597767.347337,38
1779243753107,597767.368739,41
1779243753122,597767.383938,42
1779243753143,597767.405035,49
1779243753163,597767.425344,40
1779243753184,597767.445661,40
1779243753204,597767.466050,41
1779243753224,597767.486375,44
1779243753245,597767.506660,45
1779243753265,597767.526967,46
1779243753285,597767.547244,47
1779243753305,597767.567521,49
1779243753322,597767.583937,48
1779243753343,597767.604940,48
1779243753364,597767.626467,48
1779243753385,597767.646730,49
1779243753401,597767.663621,50
1779243753422,597767.683921,54
1779243753442,597767.704214,51
1779243753462,597767.724516,51
1779243753483,597767.744834,52
1779243753503,597767.765529,54
1779243753524,597767.785919,49
1779243753544,597767.806186,47
1779243753564,597767.826477,48
1779243753585,597767.847026,48
1779243753605,597767.867430,48
1779243753621,597767.883211,49
1779243753641,597767.903564,49
1779243753663,597767.924783,49
1779243753684,597767.945750,49
1779243753704,597767.966045,47
1779243753724,597767.986356,46
1779243753745,597768.006659,47
1779243753765,597768.026895,48
1779243753780,597768.042254,51
1779243753801,597768.063251,54
1779243753822,597768.084293,48
1779243753843,597768.105157,47
1779243753864,597768.125963,46
1779243753884,597768.146199,46
1779243753904,597768.166429,46
1779243753920,597768.182359,47
1779243753942,597768.203835,48
1779243753962,597768.224562,49
1779243753983,597768.244886,49
1779243754003,597768.265220,50
1779243754023,597768.285559,51
1779243754044,597768.305932,52
1779243754064,597768.326272,51
1779243754080,597768.341722,50
1779243754100,597768.362058,51
1779243754121,597768.383218,51
1779243754142,597768.404291,54
1779243754163,597768.424650,53
1779243754184,597768.445727,51
1779243754200,597768.461737,52
1779243754220,597768.482205,52
1779243754242,597768.503773,51
1779243754262,597768.524048,52
1779243754283,597768.544955,52
1779243754299,597768.561357,52
1779243754320,597768.582449,52
1779243754341,597768.603498,51
1779243754363,597768.625185,51
1779243754379,597768.640915,54
1779243754400,597768.661968,54
1779243754420,597768.682216,54
1779243754442,597768.703700,53
1779243754462,597768.723970,52
1779243754482,597768.744222,54
1779243754498,597768.759961,54
1779243754518,597768.780243,56
1779243754538,597768.800539,57
1779243754559,597768.820815,57
1779243754579,597768.841094,57
1779243754599,597768.861381,57
1779243754620,597768.881659,57
1779243754641,597768.902631,56
1779243754662,597768.923927,58
1779243754683,597768.945251,60
1779243754699,597768.960934,60
1779243754719,597768.981216,60
1779243754739,597769.001495,63
1779243754760,597769.021780,62
1779243754780,597769.042069,62
1779243754800,597769.062338,63
1779243754820,597769.082619,64
1779243754841,597769.102893,64
1779243754861,597769.123228,65
1779243754881,597769.143589,64
1779243754898,597769.159866,65
1779243754919,597769.181036,64
1779243754939,597769.201334,63
1779243754959,597769.221613,63
1779243754980,597769.241887,62
1779243755000,597769.262241,61
1779243755017,597769.278818,62
1779243755037,597769.299183,62
1779243755059,597769.320717,63
1779243755079,597769.341041,63
1779243755099,597769.361398,63
1779243755120,597769.381725,62
1779243755140,597769.402054,62
1779243755160,597769.422400,62
1779243755176,597769.438563,62
1779243755197,597769.458863,62
1779243755217,597769.479194,61
1779243755237,597769.499490,60
1779243755258,597769.519780,58
1779243755278,597769.540062,57
1779243755298,597769.560611,57
1779243755319,597769.580921,56
1779243755340,597769.601664,56
1779243755360,597769.621968,56
1779243755375,597769.637585,56
1779243755397,597769.658999,57
1779243755417,597769.679303,57
1779243755438,597769.699655,58
1779243755458,597769.719953,58
1779243755478,597769.740292,58
1779243755498,597769.760592,59
1779243755519,597769.780892,60
1779243755540,597769.801700,65
1779243755555,597769.816925,61
1779243755575,597769.837224,62
1779243755595,597769.857523,62
1779243755616,597769.877818,60
1779243755636,597769.898376,61
1779243755657,597769.918679,61
1779243755678,597769.940409,60
1779243755694,597769.956440,60
1779243755715,597769.976748,59
1779243755735,597769.997046,58
1779243755756,597770.017671,59
1779243755776,597770.037956,58
1779243755796,597770.058257,58
1779243755816,597770.078570,58
1779243755838,597770.100060,59
1779243755858,597770.120380,58
1779243755879,597770.140665,63
1779243755894,597770.155895,59
1779243755914,597770.176447,59
1779243755935,597770.196785,59
1779243755955,597770.217089,57
1779243755975,597770.237401,57
1779243755996,597770.257702,57
1779243756016,597770.277997,56
1779243756036,597770.298253,55
1779243756058,597770.319775,54
1779243756079,597770.341245,58
1779243756094,597770.356487,54
1779243756115,597770.376785,54
1779243756135,597770.397035,52
1779243756156,597770.418226,53
1779243756177,597770.439597,53
1779243756198,597770.459897,52
1779243756214,597770.476095,56
1779243756234,597770.496337,56
1779243756255,597770.516645,51
1779243756275,597770.536967,51
1779243756296,597770.558276,50
1779243756317,597770.578630,50
1779243756337,597770.598905,52
1779243756357,597770.619175,52
1779243756372,597770.634526,52
1779243756393,597770.654849,51
1779243756414,597770.676479,50
1779243756435,597770.696773,51
1779243756455,597770.717052,54
1779243756475,597770.737345,49
1779243756496,597770.757626,50
1779243756516,597770.777926,49
1779243756536,597770.798216,48
1779243756556,597770.818504,48
1779243756572,597770.834580,47
1779243756593,597770.854861,47
1779243756613,597770.875238,46
1779243756634,597770.896549,43
1779243756655,597770.916834,43
1779243756675,597770.937119,42
1779243756695,597770.957455,40
1779243756716,597770.977780,40
1779243756732,597770.994006,39
1779243756752,597771.014316,40
1779243756773,597771.034641,39
1779243756793,597771.054953,37
1779243756813,597771.075268,41
1779243756834,597771.095766,36
1779243756855,597771.117473,36
1779243756876,597771.137770,34
1779243756896,597771.158142,33
1779243756911,597771.173355,36
1779243756932,597771.193640,35
1779243756952,597771.213923,30
1779243756972,597771.234157,29
1779243756992,597771.254486,28
1779243757013,597771.274765,25
1779243757034,597771.296460,24
1779243757055,597771.317150,24
1779243757075,597771.337443,25
1779243757091,597771.353246,24
1779243757111,597771.373546,24
1779243757133,597771.395054,25
1779243757153,597771.415382,26
1779243757174,597771.435637,24
1779243757194,597771.456089,24
1779243757215,597771.477170,26
1779243757230,597771.492401,25
1779243757252,597771.513733,28
1779243757272,597771.534029,25
1779243757293,597771.554969,25
1779243757313,597771.575301,26
1779243757330,597771.591840,26
1779243757350,597771.612104,27
1779243757370,597771.632397,28
1779243757391,597771.652651,29
1779243757411,597771.672906,32
1779243757431,597771.693200,32
