frame_idx,image_path,frame_timestamp_ms,frame_monotonic_ts,matched_pressure,pressure_timestamp_ms,pressure_monotonic_ts,sync_error_ms
242,rgb/000242_1779243751616.png,1779243751616,597765.878007,42,1779243751611,597765.872884,5.123
243,rgb/000243_1779243751649.png,1779243751649,597765.911541,41,1779243751647,597765.909470,2.071
244,rgb/000244_1779243751681.png,1779243751681,597765.942985,38,1779243751668,597765.929795,13.19
245,rgb/000245_1779243751714.png,1779243751714,597765.975861,35,1779243751708,597765.970447,5.413
246,rgb/000246_1779243751745.png,1779243751745,597766.007151,35,1779243751729,597765.990763,16.388
247,rgb/000247_1779243751778.png,1779243751778,597766.039852,35,1779243751769,597766.031381,8.47
248,rgb/000248_1779243751810.png,1779243751810,597766.072581,32,1779243751810,597766.071960,0.62
249,rgb/000249_1779243751842.png,1779243751842,597766.104358,31,1779243751830,597766.092236,12.121
250,rgb/000250_1779243751877.png,1779243751877,597766.138836,30,1779243751866,597766.127777,11.059
251,rgb/000251_1779243751907.png,1779243751907,597766.169518,32,1779243751908,597766.170511,0.994
252,rgb/000252_1779243751941.png,1779243751941,597766.203285,32,1779243751946,597766.208266,4.981
253,rgb/000253_1779243751972.png,1779243751972,597766.234559,31,1779243751967,597766.229434,5.125
254,rgb/000254_1779243752006.png,1779243752006,597766.268023,32,1779243752009,597766.271226,3.202
255,rgb/000255_1779243752037.png,1779243752037,597766.298969,30,1779243752029,597766.291591,7.378
256,rgb/000256_1779243752071.png,1779243752071,597766.332686,30,1779243752065,597766.327075,5.612
257,rgb/000257_1779243752102.png,1779243752102,597766.363903,30,1779243752085,597766.347310,16.592
258,rgb/000258_1779243752134.png,1779243752134,597766.396194,32,1779243752126,597766.387876,8.318
259,rgb/000259_1779243752167.png,1779243752167,597766.429080,29,1779243752166,597766.428382,0.699
260,rgb/000260_1779243752199.png,1779243752199,597766.461207,29,1779243752207,597766.468845,7.638
261,rgb/000261_1779243752232.png,1779243752232,597766.493820,27,1779243752227,597766.489115,4.705
262,rgb/000262_1779243752265.png,1779243752265,597766.527240,25,1779243752268,597766.530003,2.763
263,rgb/000263_1779243752296.png,1779243752296,597766.558481,24,1779243752288,597766.550250,8.231
264,rgb/000264_1779243752329.png,1779243752329,597766.591600,23,1779243752324,597766.586500,5.1
265,rgb/000265_1779243752361.png,1779243752361,597766.623372,23,1779243752345,597766.606774,16.598
266,rgb/000266_1779243752394.png,1779243752394,597766.656014,21,1779243752386,597766.648551,7.463
267,rgb/000267_1779243752426.png,1779243752426,597766.687769,18,1779243752427,597766.689111,1.342
268,rgb/000268_1779243752458.png,1779243752458,597766.720432,20,1779243752447,597766.709409,11.023
269,rgb/000269_1779243752491.png,1779243752491,597766.753253,24,1779243752484,597766.745918,7.335
270,rgb/000270_1779243752523.png,1779243752523,597766.785455,25,1779243752524,597766.786530,1.075
271,rgb/000271_1779243752557.png,1779243752557,597766.819241,25,1779243752545,597766.806806,12.435
272,rgb/000272_1779243752588.png,1779243752588,597766.850105,23,1779243752585,597766.847385,2.72
273,rgb/000273_1779243752621.png,1779243752621,597766.882854,25,1779243752628,597766.889894,7.04
274,rgb/000274_1779243752654.png,1779243752654,597766.915785,25,1779243752643,597766.905091,10.694
275,rgb/000275_1779243752685.png,1779243752685,597766.946990,27,1779243752684,597766.945646,1.344
276,rgb/000276_1779243752718.png,1779243752718,597766.980294,28,1779243752724,597766.986312,6.019
277,rgb/000277_1779243752750.png,1779243752750,597767.012186,32,1779243752745,597767.006817,5.369
278,rgb/000278_1779243752782.png,1779243752782,597767.044493,29,1779243752785,597767.047339,2.846
279,rgb/000279_1779243752814.png,1779243752814,597767.076499,29,1779243752805,597767.067591,8.908
280,rgb/000280_1779243752849.png,1779243752849,597767.111064,29,1779243752847,597767.108890,2.174
281,rgb/000281_1779243752879.png,1779243752879,597767.141356,29,1779243752867,597767.129193,12.163
282,rgb/000282_1779243752912.png,1779243752912,597767.173793,29,1779243752903,597767.164688,9.105
283,rgb/000283_1779243752945.png,1779243752945,597767.207442,30,1779243752943,597767.205254,2.188
284,rgb/000284_1779243752977.png,1779243752977,597767.238754,34,1779243752963,597767.225524,13.23
285,rgb/000285_1779243753009.png,1779243753009,597767.271427,31,1779243753004,597767.266140,5.287
286,rgb/000286_1779243753042.png,1779243753042,597767.303768,38,1779243753024,597767.286458,17.311
287,rgb/000287_1779243753074.png,1779243753074,597767.335986,40,1779243753065,597767.327062,8.924
288,rgb/000288_1779243753107.png,1779243753107,597767.368901,41,1779243753107,597767.368739,0.161
289,rgb/000289_1779243753139.png,1779243753139,597767.400900,42,1779243753122,597767.383938,16.962
290,rgb/000290_1779243753204.png,1779243753204,597767.466074,41,1779243753204,597767.466050,0.023
